"TD","PZ","SZZZ","ZXBZ","CYBZ","SZ50"
"20150210","1","1","1","1","1"
"20150211","0.919795862990252","1.00512829001083","1.01355687915308","1.0144019912169","1.00481787757099"
"20150212","0.897437503043965","1.01012957439108","1.01918937801862","1.02353641266254","1.0053674817395"
"20150213","0.814328553438115","1.01980969527243","1.03537827359587","1.04452372437667","1.00995445067043"
"20150216","0.824709344799516","1.02570988667214","1.06591064104783","1.08522923312401","1.0115088194619"
"20150217","0.845484842792238","1.03352216534733","1.06942531512962","1.08390061081151","1.01735434449406"
"20150225","0.915892629777286","1.02777253450718","1.06095971476204","1.07385240390805","1.00162634571891"
"20150226","0.908037459906629","1.04990016211521","1.06953424299772","1.07593688757921","1.03100125314743"
"20150227","0.940585276252896","1.05370205497657","1.07961194324874","1.10320511536756","1.02955921828896"
"20150302","0.97597528648062","1.06197238152746","1.09719882787752","1.13693106555853","1.0314905298334"
"20150303","0.989772276607735","1.03866159620295","1.08195462511147","1.12248730456177","0.997194564036167"
"20150304","0.962849708127213","1.04390766085868","1.10144554933594","1.15000042914157","0.997688833341377"
"20150305","0.927626681138547","1.03402191181353","1.10755576773062","1.15283791322757","0.98475212477554"
"20150306","0.920794283607116","1.03170175130897","1.08128265902533","1.11656801178709","0.986717552551478"
"20150309","0.947007173321645","1.05118899870225","1.0969166574808","1.14116755117513","1.01095006215811"
"20150310","0.911972002476918","1.04598781573552","1.11874423915675","1.17031026935786","0.996621660977854"
"20150311","0.899476090087457","1.04752588893596","1.11401491351144","1.16487848141102","1.0020615356964"
"20150312","0.901925177593632","1.06612250536591","1.11212471377941","1.15475245683551","1.03393566510841"
"20150313","0.87010443410076","1.0736307981333","1.12868842542894","1.18389975252836","1.03816399755694"
"20150316","0.874414688958929","1.0979477608971","1.17121230204314","1.22601284563778","1.0612898098977"
"20150317","0.87836662561662","1.1149907069439","1.17575877866622","1.22303174217174","1.07474367060695"
"20150318","0.87461646037279","1.13869014859659","1.19818815017848","1.24904172686569","1.10238780336403"
"20150319","0.949644116971759","1.14027214855648","1.20056616439902","1.2495904558914","1.09431681830361"
"20150320","0.920710791987588","1.15142795390746","1.20875822393192","1.26669203370192","1.11530079698845"
"20150323","1.0003896275578","1.17384015052236","1.2490432990718","1.31240018882229","1.13193953272412"
"20150324","1.06697071531445","1.17501216739406","1.26445683664027","1.34920337019183","1.11653563814827"
"20150325","1.04918004271988","1.16524546623321","1.28637494730675","1.36467821534324","1.10218768254264"
"20150326","1.01110090657984","1.1720471111312","1.26168463053833","1.31133591771926","1.11824769049755"
"20150327","1.01842729619348","1.17491221810082","1.28263118277592","1.3296625516758","1.11886261476783"
"20150330","0.969647317483841","1.20530189620361","1.29363941033063","1.31058463387071","1.15847738426693"
"20150331","1.04674139166614","1.192993172572","1.30352970254551","1.33615861072568","1.1460798785795"
"20150401","1.05628378801478","1.21285411573046","1.34053586975158","1.37606191082438","1.16471607806459"
"20150402","1.10510899135166","1.21778473532377","1.36512881900861","1.4163531549058","1.15730619900247"
"20150403","1.08433349335894","1.22992666459341","1.38010062069346","1.43628535053714","1.17209267299842"
"20150407","1.02656425028004","1.2609456412718","1.39966106988008","1.46291387128614","1.20216113845032"
"20150408","1.11247016914011","1.27158769452313","1.37228581956172","1.42369605332799","1.22821720223603"
"20150409","1.21972211205967","1.25972205820423","1.34820527090393","1.42846181355229","1.21976844231944"
"20150410","1.16232162363369","1.28416061533114","1.387110430226","1.46070007295407","1.24258179990581"
"20150413","1.28239300896839","1.31198248786523","1.41901180442677","1.47497446607636","1.26526493334021"
"20150414","1.3966165021186","1.31639107930276","1.41055255411427","1.46414407713105","1.2699588275333"
"20150415","1.3962094804734","1.30002931633728","1.35797865697637","1.39713562304204","1.27033202582183"
"20150416","1.29973143529052","1.33525348445836","1.37587685712653","1.42150571473529","1.32441790220125"
"20150417","1.44615486303896","1.36468855131776","1.37457607276447","1.40986739525369","1.34606506714241"
"20150420","1.66119796558754","1.34233715188441","1.33742645944212","1.38747078261118","1.3165790739357"
"20150421","1.63169063571911","1.36670249774557","1.3892811721355","1.46828844035647","1.33734129711576"
"20150422","1.54050039310638","1.40008397013872","1.42891447110798","1.50767791494414","1.372646188052"
"20150423","1.555713261948","1.40518138409399","1.44684849208173","1.54844865321069","1.36190248748933"
"20150424","1.58793406945111","1.3985535363747","1.44745288706883","1.56479322528502","1.34133289620178"
"20150427","1.56139764971091","1.44111474656329","1.45486893730525","1.57208691547341","1.37648759250907"
"20150428","1.62073583947345","1.4248233300749","1.40632471999921","1.53802852360994","1.36561866041369"
